item,AVERAGE,stapler,stapler upper CI,car,car upper CI,computer,comp upper CI,robot,robot upper CI,microbe,microbe upper CI,beetle,beetle upper CI,fish,fish upper CI,bluejay,bluejay upper CI,frog,frog upper CI,mouse,mouse upper CI,goat,goat upper CI,dog,dog upper CI,bear,bear upper CI,dolphin,dolphin upper CI,elephant,elephant upper CI,chimp,chimp upper CI,fetus,fetus upper CI,pvs,pvs upper CI,infant,infant upper CI,child,child upper CI,adult,adult upper CI
working toward a goal,2.917762,0.426396,0.626396,0.485549,0.685549,2.121212,3,2.7,3.8,2.375635,3,2.97,4,2.010152,2.510152,4,4.9,3.30303,4.00303,3.738693,3.988693,2.195876,3,3.24,4,3.545455,4.3,3.93,4.5,4.35533,5,3.484848,5,0.556701,1.2,0.331658,0.5,1.223881,2,3.181818,3.8,5.638191,6
recognizing others,3.549504,0.243655,0.443655,0.867052,1.5,2.727273,3.5,4.11,5,0.761421,1.5,1.26,1.8,2.345178,2.845178,3.969697,4.3,3.393939,4.093939,3.407035,3.657035,4.762887,5.2,5.46,5.6,4.666667,5,4.44,5.1,5.116751,5.2,5.151515,5.2,1.42268,2.5,1.20603,1.9,4.567164,5,5.272727,5.4,5.638191,6
making choices,3.385522,0.48731,0.88731,0.693642,1.2,2.090909,3,3.12,4,1.522843,2.5,2.52,3.02,3.441624,3.941624,4.151515,4.9,3.969697,4.669697,4.673367,4.923367,4.113402,4.8,4.35,5,4.818182,5.3,4.05,4.7,4.263959,5,4.666667,5,0.680412,1.580412,0.603015,1,2.089552,3,4,4.5,5.577889,6
seeing things,4.219969,0.426396,0.626396,1.213873,2,2.272727,3,4.02,5,0.730964,1.2,4.11,4.61,4.751269,4.951269,5.545455,5.8,5.545455,6,5.18593,5.43593,5.474227,5.8,5.58,5.9,5.363636,6,5.55,6,5.817259,6,5.787879,6,0.865979,1.765979,0.723618,1.1,5.104478,5.5,5.242424,5.5,5.517588,6
perceiving depth,3.389473,0.365482,0.565482,1.00578,2,1.969697,3,3.9,4.9,1.279188,2,2.91,4,4.324873,4.824873,4.69697,5.2,4,4.5,3.648241,3.898241,3.185567,4,3.96,4.9,4.060606,4.9,4.56,5.1,4.203046,5,3.848485,5,0.525773,1.425773,0.994975,1.5,2.149254,2.8,3.848485,4.5,5.517588,6
remembering things,3.482405,0.304569,0.504569,1.317919,2,3.575758,4.5,4.26,5,0.944162,1.5,1.77,2.5,3.106599,3.606599,4.060606,4.8,3.090909,3.6,4.221106,4.471106,4.268041,5,4.92,5.1,4.30303,4.9,4.32,4.9,5.329949,5.5,4.666667,5.1,1.051546,1.951546,1.175879,1.8,2.119403,2.8,4.090909,4.8,5.547739,5.8
communicating,3.721421,0.456853,0.656853,1.317919,2,3.090909,4,4.35,5,2.071066,3,2.64,3.5,3.19797,3.69797,4.636364,5.2,4.424242,5,4.160804,4.410804,4.360825,5,4.47,5,4.272727,4.9,5.22,5.5,4.994924,5.5,5.030303,5.3,1.082474,1.982474,0.572864,1,2.865672,3.5,4.636364,5,5.577889,5.9
sensing temperatures,4.482663,0.426396,0.626396,2.393064,3.5,3.363636,4.2,4.89,5.5,3.228426,4,4.14,5,4.84264,5.34264,5.121212,5.5,5.515152,5.7,5.336683,5.5,5.350515,5.5,5.25,5.6,5.272727,5.3,5.1,5.5,5.51269,5.8,4.969697,5.3,2.783505,3.683505,1.839196,2.3,4.537313,5,4.69697,5,5.366834,5.7
detecting sounds,4.615746,0.517766,1,1.83815,3,4.393939,4.593939,5.16,5.5,1.401015,2.25,4.08,5,4.568528,4.768528,5.545455,5.7,5.878788,6,5.60804,6,5.628866,6,5.58,5.9,5.606061,5.9,5.82,6,5.451777,5.8,5.242424,5.5,2.628866,3.528866,2.261307,3,5.074627,5.5,5.212121,5.5,5.306533,5.7
doing computations,1.860984,0.700508,1.5,2.254335,3,4.757576,5.5,4.89,5.5,0.852792,1.2,0.72,1.22,0.852792,3.2,1.090909,1.9,0.666667,1,0.874372,1.5,0.463918,0.6,1.05,1.5,0.848485,1,1.29,2,2.375635,3.1,1.878788,2.6,0.278351,0.678351,0.452261,0.6,0.716418,1.2,2.151515,3,5.336683,5.9
being self-aware,2.565763,0.670051,1,0.520231,1,0.939394,2,0.96,1.5,0.913706,1.2,1.92,3,2.467005,3.2,2.818182,3.5,2.363636,3.2,2.984925,3.6,2.56701,3.2,3.12,3.9,3.454545,4.2,3.33,4.2,3.928934,4.5,3.30303,3.9,0.865979,1.6,0.964824,1.5,1.61194,2.2,3.484848,4,5.60804,6
feeling depressed,2.351523,0.335025,0.535025,0.208092,0.408092,0.484848,1,0.33,0.53,0.060914,0.260914,0.84,1.34,1.035533,2.1,2.242424,3,1.848485,2.6,2.653266,3.6,3.989691,4.5,4.8,5.1,2.606061,3.4,3.66,4.5,4.142132,4.9,3.757576,4.7,0.309278,0.709278,1.447236,2.1,1.164179,1.9,3.666667,4.1,5.547739,5.9
reasoning about things,2.298472,0.304569,0.504569,0.554913,0.754913,1.666667,2.5,2.55,3.5,0.48731,0.68731,1.35,2,1.675127,1.9,1.818182,2.5,1.787879,2.5,2.864322,3.8,2.814433,3.5,2.76,3.5,3.060606,4,3.12,5,3.258883,4.1,2.969697,3.5,0.278351,0.678351,0.542714,1,0.597015,1,3.454545,4,5.396985,5.5
