,robot mean,robot CI,beetle mean,beetle CI
Getting hungry,0.367688022284123,0.517688022284123,5.3448275862069,5.4948275862069
Experiencing pain,0.3008356545961,0.4508356545961,4.68965517241379,4.83965517241379
Feeling tired,0.45125348189415,0.60125348189415,4.08620689655172,4.23620689655172
Experiencing fear,0.534818941504178,0.684818941504178,3.8448275862069,3.9948275862069
Experiencing pleasure,0.534818941504178,0.684818941504178,3.13793103448276,3.28793103448276
Doing computations,5.23119777158774,5.38119777158774,0.793103448275862,0.943103448275862
Being conscious,0.685236768802228,0.835236768802229,3.44827586206897,3.59827586206897
Feeling safe,0.885793871866295,1.0357938718663,3.72413793103448,3.87413793103448
Having desires,0.785515320334262,0.935515320334262,3.67241379310345,3.82241379310345
Feeling nauseated,0.685236768802228,0.835236768802229,3.3448275862069,3.4948275862069
Feeling calm,0.3008356545961,0.4508356545961,2.5,2.65
Getting angry,0.919220055710306,1.06922005571031,2.94827586206897,3.09827586206897
Having intentions,0.534818941504178,0.684818941504178,2.29310344827586,2.44310344827586
Being self-aware,1.55431754874652,1.70431754874652,3.58620689655172,3.73620689655172
Feeling embarrassed,1.10306406685237,1.25306406685237,2.72413793103448,2.87413793103448
Experiencing pride,0.417827298050139,0.567827298050139,0.775862068965517,0.925862068965517
Feeling love,0.568245125348189,0.718245125348189,1.31034482758621,1.46034482758621
Experiencing guilt,0.518105849582173,0.668105849582173,1.74137931034483,1.89137931034483
Holding beliefs,0.467966573816156,0.617966573816156,0.827586206896552,0.977586206896552
Feeling disrespected,0.685236768802228,0.835236768802229,0.96551724137931,1.11551724137931
Feeling depressed,0.484679665738162,0.634679665738162,0.913793103448276,1.06379310344828
Understanding how,0.401114206128134,0.551114206128134,1.25862068965517,1.40862068965517
others are feeling ,1.2033426183844,1.3533426183844,1.36206896551724,1.51206896551724
Experiencing joy,0.568245125348189,0.718245125348189,2.10344827586207,2.25344827586207
Having a personality,1.57103064066852,1.72103064066852,2.06896551724138,2.21896551724138
Feeling happy,0.534818941504178,0.684818941504178,2.18965517241379,2.33965517241379
Telling right from wrong ,1.52089136490251,1.67089136490251,1.13793103448276,1.28793103448276
Exercising self-restraint ,1.28690807799443,1.43690807799443,1.77586206896552,1.92586206896552
Having thoughts ,1.23676880222841,1.38676880222841,2.81034482758621,2.96034482758621
Remembering things ,4.16155988857939,4.31155988857939,3.18965517241379,3.33965517241379
Recognizing someone,3.82729805013928,3.97729805013928,2.39655172413793,2.54655172413793
Sensing temperatures,3.71030640668524,3.86030640668524,4.93103448275862,5.08103448275862
Communicating with others ,4.17827298050139,4.32827298050139,3.48275862068966,3.63275862068966
Seeing things,4.01114206128134,4.16114206128134,5.1551724137931,5.3051724137931
Perceiving depth,3.42618384401114,3.57618384401114,3.87931034482759,4.02931034482759
Working toward a goal ,3.66016713091922,3.81016713091922,3.91379310344828,4.06379310344828
Detecting sounds,4.69637883008357,4.84637883008357,4.93103448275862,5.08103448275862
Making choices,3.34261838440111,3.49261838440111,4.10344827586207,4.25344827586207
Reasoning about things,2.74094707520891,2.89094707520891,2.01724137931034,2.16724137931034
Detecting odors,2.65738161559889,2.80738161559889,4.68965517241379,4.83965517241379
