item,Averages,robot,robot upper CI,child,child upper CI,adult,adult upper CI
making choices,4.23262966666667,3.12,4,4,4.5,5.577889,6
communicating,4.854751,4.35,5,4.636364,5,5.577889,5.9
sensing temperatures,4.98460133333333,4.89,5.5,4.69697,5,5.366834,5.7
detecting sounds,5.226218,5.16,5.5,5.212121,5.5,5.306533,5.7
reasoning about things,3.80051,2.55,3.5,3.454545,4,5.396985,5.5
exercising self-restraint,3.087176,1.38,2.5,2.424242,3,5.457286,5.5
understanding feelings,3.21980533333333,1.17,2,3.393939,4,5.095477,5.2
holding beliefs,3.34182133333333,0.66,1.2,3.727273,4.1,5.638191,6
having intentions,3.804649,1.17,2,4.545455,5.1,5.698492,6
feeling love,3.50485266666667,0.3,0.5,4.69697,5.2,5.517588,6
getting angry,3.59520633333333,0.48,1,4.818182,5.1,5.487437,6
having desires,3.60505266666667,0.42,1,4.636364,5,5.758794,6
experiencing joy,3.88823533333333,0.36,0.56,5.636364,5.8,5.668342,6
experiencing pleasure,3.756923,0.42,0.62,5.30303,5.5,5.547739,6
getting hungry,3.86813433333333,0.33,1,5.606061,5.9,5.668342,6
experiencing pain,3.81752733333333,0.33,0.53,5.393939,5.9,5.728643,6
